,,全駅の平均利用者数（人）,,
年,日付,6:30-7:30,7:30-8:30,8:30-9:30
2021,6月21日~6月25日,219053,369857,406336
2021,6月14日~6月18日,214606,359320,394999
2021,6月7日~6月11日,213213,355557,383042
2021,5月31日~6月4日,213971,358621,384777
2021,5月24日~5月28日,212407,353622,379883
2021,5月17日~5月21日,210673,352278,376042
2021,5月10日~5月14日,212090,354482,367678
2021,5月6日~5月7日,203685,338086,345872
2021,4月26日~4月30日,205200,342601,366130
2021,4月19日~4月23日,220152,380662,413956
2021,4月12日~4月16日,219834,386199,412903
2021,4月5日~4月9日,212114,370878,412159
2021,3月29日~4月2日,202439,349321,412159
2021,3月22日~3月26日,197577,331527,412841
2021,3月15日~3月19日,193766,317711,393078
2021,3月8日~3月12日,196551,326259,391777
2021,3月1日~3月5日,198823,330882,385025
2021,2月22日~2月26日,197944,325022,379821
2021,2月15日~2月19日,194377,320722,374431
2021,2月8日~2月12日,193424,316636,375732
2021,2月1日~2月5日,191665,310776,359129
2021,1月25日~1月29日,187072,303788,350952
2021,1月18日~1月22日,185410,300724,351076
2021,1月12日~1月15日,189271,312335,355102
2021,1月4日~1月8日,177495,305401,344942
2020,12月28日~12月28日,147053,249707,318180
2020,12月21日~12月25日,202341,352224,428452
2020,12月14日~12月18日,209549,360825,431550
2020,12月7日~12月11日,214557,371523,426656
2020,11月30日~12月4日,217978,377383,424240
2020,11月24日~11月27日,221349,380662,431736
2020,11月16日~11月20日,220763,377867,428019
2020,11月9日~11月13日,222375,381791,433037
2020,11月2日~11月6日,223939,384533,428762
2020,10月26日~10月30日,224085,374426,425231
2020,10月19日~10月23日,224354,373835,424425
2020,10月12日~10月16日,224696,373243,421204
2020,10月5日~10月9日,226382,379049,424487
2020,9月28日~10月2日,226504,368943,418788
2020,9月23日~9月25日,227408,365234,411973
2020,9月14日~9月18日,225698,358675,411664
2020,9月7日~9月11日,224256,357869,404229
2020,8月31日~9月4日,223499,356256,402495
2020,8月24日~8月28日,214728,339161,398282
2020,8月17日~8月21日,202415,314916,384219
2020,8月11日~8月14日,138307,219764,300462
2020,8月3日~8月7日,211845,329162,397353
2020,7月27日~7月31日,220934,343461,392521
2020,7月20日~7月22日,228947,360126,410425
2020,7月13日~7月17日,224305,360772,415504
2020,7月6日~7月10日,225845,366793,420027
2020,6月29日~7月3日,226993,363513,416805
2020,6月22日~6月26日,217122,338731,409929
2020,6月15日~6月19日,213433,320722,396238
2020,6月8日~6月12日,207008,302551,383600
2020,6月1日~6月5日,205786,297606,365944
2020,5月25日~5月29日,163593,219119,267194
2020,5月18日~5月22日,148788,195626,233988
2020,5月11日~5月15日,144488,187455,221536
2020,5月7日~5月8日,146516,194282,222156
2020,4月27日~5月1日,123623,162780,193968
2020,4月20日~4月24日,132541,169016,198243
2020,4月13日~4月17日,144732,185573,213731
2020,4月6日~4月10日,201218,278253,327472
2020,3月30日~4月3日,220054,352116,429815
2020,3月23日~3月27日,233858,396360,530671
2020,3月16日~3月19日,240992,408670,550000
2020,3月9日~3月13日,241334,403886,544858
2020,3月2日~3月6日,245463,417379,556567
2020,2月25日~2月28日,251791,486673,574223
2020,2月17日~2月21日,243435,515488,576453
2020,2月10日~2月14日,241969,521778,573169
2020,1月20日~1月24日,244315,537582,619509
