年月日,平均雲量(10分比),平均雲量(10分比),平均雲量(10分比),平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm)
2020/2/1,0,8,1,7.9,8,1,13.4,8,1,3,8,1,0,1,8,1
2020/2/2,5,8,1,8.7,8,1,13.8,8,1,5,8,1,0,1,8,1
2020/2/3,9.5,8,1,9.3,8,1,15.2,8,1,5.3,8,1,0,0,8,1
2020/2/4,6.3,8,1,7.9,8,1,11.4,8,1,4.8,8,1,0,0,8,1
2020/2/5,2.3,8,1,7.6,8,1,15.2,8,1,2.4,8,1,0,1,8,1
2020/2/6,2.5,8,1,2.9,8,1,6.9,8,1,-0.4,8,1,0,1,8,1
2020/2/7,7.3,8,1,2.4,8,1,6.9,8,1,-2.1,8,1,0,1,8,1
2020/2/8,5,8,1,6.2,8,1,12.7,8,1,0.7,8,1,0,0,8,1
2020/2/9,0,8,1,3.9,8,1,8.3,8,1,1.2,8,1,0,1,8,1
2020/2/10,2.8,8,1,4.6,8,1,10.1,8,1,-0.2,8,1,0,1,8,1
2020/2/11,0.3,8,1,6.3,8,1,11.7,8,1,1.1,8,1,0,1,8,1
2020/2/12,7.5,8,1,8.7,8,1,16,8,1,1.9,8,1,0,0,8,1
2020/2/13,5,8,1,11.7,8,1,18.2,8,1,7.8,8,1,0,0,8,1
2020/2/14,7.5,8,1,12,8,1,16,8,1,8.5,8,1,0,0,8,1
2020/2/15,7.3,8,1,12.4,8,1,16.2,8,1,7.6,8,1,0,1,8,1
2020/2/16,10,8,1,9.3,8,1,11.8,8,1,7.8,8,1,8.5,0,8,1
2020/2/17,7.3,8,1,10.3,8,1,16.8,8,1,5.8,8,1,0,0,8,1
2020/2/18,2.8,8,1,7.6,8,1,12.5,8,1,2.8,8,1,0,0,8,1
2020/2/19,4,8,1,8.1,8,1,13.3,8,1,3.6,8,1,0,1,8,1
2020/2/20,7.8,8,1,9,8,1,13.1,8,1,4.7,8,1,0,0,8,1
2020/2/21,2.8,8,1,10,8,1,14.2,8,1,5.4,8,1,0,1,8,1
2020/2/22,6.8,8,1,12.5,8,1,18.2,8,1,6.4,8,1,2.5,0,8,1
2020/2/23,1.8,8,1,10.4,8,1,16,8,1,5.4,8,1,0,1,8,1
2020/2/24,3.3,8,1,9.8,8,1,15.4,8,1,4.6,8,1,0,1,8,1
2020/2/25,10,8,1,10.5,8,1,14.4,8,1,6.2,8,1,0,0,8,1
2020/2/26,10,8,1,8.1,8,1,9.4,8,1,7,8,1,3,0,8,1
2020/2/27,0.8,8,1,7,8,1,11.9,8,1,3.6,8,1,0,0,8,1
2020/2/28,6,8,1,7,8,1,12.4,8,1,1.9,8,1,0,1,8,1
2020/2/29,8,8,1,9.4,8,1,14.4,8,1,5.4,8,1,1,0,8,1
2020/3/1,7.3,8,1,12,8,1,17.9,8,1,6.6,8,1,0.5,0,8,1
2020/3/2,10,8,1,7.3,8,1,11.2,8,1,5.8,8,1,10,0,8,1
2020/3/3,6.5,8,1,11.3,8,1,17.8,8,1,5.3,8,1,0,0,8,1
2020/3/4,10,8,1,8.9,8,1,10.9,8,1,7.9,8,1,1.5,0,8,1
2020/3/5,4.8,8,1,9.2,8,1,13.7,8,1,6.1,8,1,1,0,8,1
2020/3/6,0.3,8,1,9.4,8,1,15.1,8,1,5.4,8,1,0,1,8,1
2020/3/7,10,8,1,7.3,8,1,10.4,8,1,5.2,8,1,1.5,0,8,1
2020/3/8,10,8,1,7.2,8,1,8.9,8,1,5.6,8,1,6,0,8,1
2020/3/9,7.5,8,1,13.1,8,1,19.6,8,1,7.6,8,1,0,0,8,1
2020/3/10,7.5,8,1,14.7,8,1,18.2,8,1,12.6,8,1,24.5,0,8,1
2020/3/11,6.3,8,1,15.3,8,1,21.4,8,1,9.8,8,1,0,0,8,1
2020/3/12,1,8,1,11.4,8,1,16.7,8,1,7,8,1,0,1,8,1
2020/3/13,7.5,8,1,12.5,8,1,18.7,8,1,6.8,8,1,0,1,8,1
2020/3/14,9.3,8,1,5.5,8,1,12.3,8,1,1.3,8,1,25,0,8,1
2020/3/15,4,8,1,7.1,8,1,12,8,1,1.8,8,1,0,1,8,1
2020/3/16,2,8,1,7.1,8,1,14.4,8,1,3.6,8,1,0,1,8,1
2020/3/17,2.5,8,1,7.7,8,1,12.7,8,1,2.3,8,1,0,1,8,1
2020/3/18,0.3,8,1,11.9,8,1,18.4,8,1,4.8,8,1,0,0,8,1
2020/3/19,2.5,8,1,14.6,8,1,22,8,1,6.5,8,1,1,0,8,1
2020/3/20,3,8,1,14.5,8,1,19.4,8,1,9.5,8,1,0,0,8,1
2020/3/21,0.5,8,1,13.8,8,1,21,8,1,7.6,8,1,0,1,8,1
2020/3/22,6.8,8,1,16.8,8,1,23.7,8,1,10.5,8,1,0,1,8,1
2020/3/23,8.5,8,1,10.3,8,1,14,8,1,7.7,8,1,0,0,8,1
2020/3/24,2.5,8,1,8.2,8,1,12.6,8,1,4.7,8,1,0,0,8,1
2020/3/25,0.5,8,1,10,8,1,16,8,1,3.4,8,1,0,1,8,1
2020/3/26,3.5,8,1,13,8,1,20,8,1,7.5,8,1,0,1,8,1
2020/3/27,8,8,1,16.2,8,1,22.8,8,1,9.1,8,1,0,0,8,1
2020/3/28,10,8,1,15.5,8,1,24.6,8,1,7.4,8,1,8.5,0,8,1
2020/3/29,10,8,1,3.6,8,1,7.7,8,1,0.7,8,1,51.5,0,8,1
2020/3/30,10,8,1,7.6,8,1,10.3,8,1,3.5,8,1,0,1,8,1
